Env,Gen,Rep,Yr
SZ_17,18,2,274
SZ_17,18,3,323
SZ_17,19,1,387
SZ_17,19,2,631
SZ_17,19,3,509
SZ_17,20,1,302
SZ_17,20,2,272
SZ_17,20,3,287
SZ_17,21,1,330
SZ_17,21,2,425
SZ_17,21,3,378
SZ_17,22,1,337
SZ_17,22,2,315
SZ_17,22,3,326
SZ_17,23,1,255
SZ_17,23,2,395
SZ_17,23,3,325
SZ_17,24,1,372
SZ_17,24,2,445
SZ_17,24,3,409
SZ_17,25,1,318
SZ_17,25,2,259
SZ_17,25,3,289
SZ_17,26,1,361
SZ_17,26,2,397
SZ_17,26,3,379
SZ_17,27,1,277
SZ_17,27,2,338
SZ_17,27,3,308
SZ_17,28,1,396
SZ_17,28,2,348
SZ_17,28,3,372
SZ_17,29,1,351
SZ_17,29,2,225
SZ_17,29,3,288
SZ_17,30,1,317
SZ_17,30,2,335
SZ_17,30,3,326
SG_17,1,1,327.1
SG_17,1,2,223.9
SG_17,1,3,265.7
SG_17,2,1,203.8
SG_17,2,2,334.7
SG_17,2,3,251.5
SG_17,3,1,149.4
SG_17,3,2,145.1
SG_17,3,3,141.4
SG_17,4,1,146.7
SG_17,4,2,302
SG_17,4,3,215.8
SG_17,5,1,399
SG_17,5,2,265.3
SG_17,5,3,324.9
SG_17,6,1,175.6
SG_17,6,2,306
SG_17,6,3,226.9
SG_17,7,1,172.9
SG_17,7,2,291
SG_17,7,3,225.7
SG_17,8,1,158.3
SG_17,8,2,269.7
SG_17,8,3,239.5
SG_17,9,1,238.9
SG_17,9,2,412.8
SG_17,9,3,371.4
SG_17,10,1,434.6
SG_17,10,2,215.9
SG_17,10,3,358.1
SG_17,11,1,213.8
SG_17,11,2,261
SG_17,11,3,265.7
SG_17,12,1,227.9
SG_17,12,2,254.7
SG_17,12,3,272.1
SG_17,13,1,189.2
SG_17,13,2,331.9
SG_17,13,3,291.1
SG_17,14,1,244.4
SG_17,14,2,365.1
SG_17,14,3,347.3
SG_17,15,1,313.9
SG_17,15,2,206.1
SG_17,15,3,292.4
SG_17,16,1,366.7
SG_17,16,2,264.2
SG_17,16,3,354.1
SG_17,17,1,245.2
SG_17,17,2,323
SG_17,17,3,324.1
SG_17,18,1,290.3
SG_17,18,2,218.3
SG_17,18,3,279.4
SG_17,19,1,308.4
SG_17,19,2,487
SG_17,19,3,449.7
SG_17,20,1,233.2
SG_17,20,2,214.5
SG_17,20,3,250.9
SG_17,21,1,260.2
SG_17,21,2,331.6
SG_17,21,3,337.4
SG_17,22,1,262.9
SG_17,22,2,251
SG_17,22,3,282
SG_17,23,1,203.2
SG_17,23,2,304.9
SG_17,23,3,287.2
SG_17,24,1,293.4
SG_17,24,2,347.2
SG_17,24,3,365.2
SG_17,25,1,248.1
SG_17,25,2,206.4
SG_17,25,3,250
SG_17,26,1,287.6
SG_17,26,2,306.4
SG_17,26,3,334.9
SG_17,27,1,213.8
SG_17,27,2,266.5
SG_17,27,3,269.2
SG_17,28,1,305.7
SG_17,28,2,274.4
SG_17,28,3,325.2
SG_17,29,1,273.8
SG_17,29,2,179.3
SG_17,29,3,249.1
SG_17,30,1,247.3
SG_17,30,2,267
SG_17,30,3,282
SG_18,1,1,314.11
SG_18,1,2,375.72
SG_18,1,3,390.87
SG_18,2,1,305.02
SG_18,2,2,333.3
SG_18,2,3,340.37
SG_18,3,1,257.55
SG_18,3,2,399.96
SG_18,3,3,375.72
SG_18,4,1,343.4
SG_18,4,2,387.84
SG_18,4,3,380.77
SG_18,5,1,345.42
SG_18,5,2,534.29
SG_18,5,3,273.71
SG_18,6,1,303
SG_18,6,2,334.31
SG_18,6,3,283.81
SG_18,7,1,338.35
SG_18,7,2,333.3
SG_18,7,3,425.21
SG_18,8,1,472.68
SG_18,8,2,227.25
SG_18,8,3,269.67
SG_18,9,1,338.35
SG_18,9,2,418.14
SG_18,9,3,276.74
SG_18,10,1,637.31
SG_18,10,2,274.72
SG_18,10,3,429.25
SG_18,11,1,449.45
SG_18,11,2,261.59
SG_18,11,3,400.97
SG_18,12,1,236.34
SG_18,12,2,432.28
SG_18,12,3,247.45
SG_18,13,1,336.33
SG_18,13,2,282.8
SG_18,13,3,426.22
SG_18,14,1,366.63
SG_18,14,2,293.91
SG_18,14,3,395.92
SG_18,15,1,349.46
SG_18,15,2,341.38
SG_18,15,3,187.86
SG_18,16,1,204.02
SG_18,16,2,253.51
SG_18,16,3,374.71
SG_18,17,1,297.95
SG_18,17,2,259.57
SG_18,17,3,346.43
SG_18,18,1,360.57
SG_18,18,2,279.77
SG_18,18,3,270.68
SG_18,19,1,151.5
SG_18,19,2,321.18
SG_18,19,3,358.55
SG_18,20,1,289.87
SG_18,20,2,427.23
SG_18,20,3,308.05
SG_18,21,1,299.97
SG_18,21,2,276.74
SG_18,21,3,420.16
SG_18,22,1,418.14
SG_18,22,2,268.66
SG_18,22,3,322.24
SG_18,23,1,385.84
SG_18,23,2,345.56
SG_18,23,3,326.48
SG_18,24,1,350.86
SG_18,24,2,429.3
SG_18,24,3,384.78
SG_18,25,1,342.38
SG_18,25,2,539.54
SG_18,25,3,304.22
SG_18,26,1,400.68
SG_18,26,2,345.56
SG_18,26,3,334.75
SG_18,27,1,383.16
SG_18,27,2,421.27
SG_18,27,3,297.67
SG_18,28,1,352.98
SG_18,28,2,412.34
SG_18,28,3,305.28
SG_18,29,1,288.86
SG_18,29,2,352.49
SG_18,29,3,276.74
SG_18,30,1,366.63
SG_18,30,2,355.52
SG_18,30,3,325.22
SG_19,1,1,295
SG_19,1,2,262
SG_19,1,3,279
SG_19,2,1,411
SG_19,2,2,315
SG_19,2,3,363
SG_19,3,1,403
SG_19,3,2,300
SG_19,3,3,352
SG_19,4,1,274
SG_19,4,2,369
SG_19,4,3,322
SG_19,5,1,256
SG_19,5,2,212
SG_19,5,3,234
SG_19,6,1,548
SG_19,6,2,308
SG_19,6,3,428
SG_19,7,1,295
SG_19,7,2,195
SG_19,7,3,245
SG_19,8,1,299
SG_19,8,2,367
SG_19,8,3,333
SG_19,9,1,239
SG_19,9,2,321
SG_19,9,3,280
SG_19,10,1,497
SG_19,10,2,347
SG_19,10,3,422
SG_19,11,1,437
SG_19,11,2,288
SG_19,11,3,363
SG_19,12,1,305
